Bénéficiaires,2015,2016,2017,2018,2019,2020,2021,total
services-proprete.fr,,,,91293.0,,,,91293.0
LE COURRIER DE LA MAYENNE,,25241.0,22523.0,21960.0,21215.0,,,90939.0
LE TREGOR,14907.0,12117.0,12481.0,12933.0,12836.0,12777.0,12452.0,90503.0
20minutes.fr,,,,29276.0,60765.0,,,90041.0
alimentation-generale.fr,,50000.0,39687.0,,,,,89687.0
SOCIALTER,5458.0,9866.0,9832.0,10511.0,15584.0,18032.0,19171.0,88454.0
La Revue Fiduciaire,,,,,88355.0,,,88355.0
L'ECO / PLAY BAC PRESSE,87811.0,,,,,,,87811.0
natura-sciences.com,,,,,,,87617.0,87617.0
LE JOURNAL DE SAÔNE et LOIRE,,87072.0,,,,,,87072.0
LA PRESSE DE GRAY,7598.0,11141.0,39938.0,6760.0,6394.0,6289.0,8626.0,86746.0
marcelle.media,,,,,46690.0,40000.0,,86690.0
L'AVENIR DE L'ARTOIS,19448.0,,18514.0,16986.0,15669.0,15314.0,,85931.0
lalettredumusicien.fr,,,,,,,84586.0,84586.0
L’ECO,,84441.0,,,,,,84441.0
misstweed.com,,,,,,,84021.0,84021.0
newsmanagers.com,,,,83791.0,,,,83791.0
spheresmagazine.com,,,,,,,83636.0,83636.0
e-marketing.fr,82560.0,,,,,,,82560.0
aoc.media,,,50000.0,,32255.0,,,82255.0
FRANCE ANTILLES MARTINIQUE,5945.0,16925.0,19439.0,19897.0,18954.0,,,81160.0
guitinews.fr,,,,,50000.0,,31047.0,81047.0
LE JOURNAL DES FLANDRES,15006.0,13781.0,12121.0,10730.0,9169.0,9891.0,10288.0,80986.0
PARIS NORMANDIE – NORMANDIE DIMANCHE,,80523.0,,,,,,80523.0
rsedatanews.net,,50000.0,,30222.0,,,,80222.0
livreshebdo.fr,,,,25914.0,,53680.0,,79594.0
Rfconseil.grouperf.com,,,78751.0,,,,,78751.0
Rfsocial.grouperf.com,,,78751.0,,,,,78751.0
Rfcomptable.grouperf.com,,,78751.0,,,,,78751.0
revuefiduciaire.gouperf.com,,,78751.0,,,,,78751.0
Rfpaye.grouperf.com,,,78751.0,,,,,78751.0
L'OBSERVATEUR / THIERACHE / SAMBRE LA FRONTIERE…,78749.0,,,,,,,78749.0
lesinguliersete.fr,,,,,,,76970.0,76970.0
LE JOURNAL D'ICI TARN ET LAURAGAIS / Lejournaldici.com,,,,76524.0,,,,76524.0
zepros.fr,,,,,,,76504.0,76504.0
vert.eco,,,,,,50000.0,25149.0,75149.0
L'OBSERVATEUR - Toutes éditions,,,,,,,75102.0,75102.0
AMERICA,,,,21266.0,26280.0,27385.0,,74931.0
L'ECO / l-eco.fr,,,,,74721.0,,,74721.0
L’INDÉPENDANT DU MIDI,,74349.0,,,,,,74349.0
L'ECHO DE LA LYS,14056.0,,13020.0,12605.0,11690.0,11883.0,10919.0,74173.0
revue-banque.fr,,,,73834.0,,,,73834.0
LA REPUBLIQUE DE SEINE ET MARNE,18456.0,,14764.0,14024.0,13240.0,13256.0,,73740.0
L’ÉVEIL DE LA HAUTE LOIRE,,73695.0,,,,,,73695.0
slate.fr,,,,39516.0,,,34176.0,73692.0
LE BONHOMME PICARD,13152.0,14065.0,10197.0,9859.0,12814.0,13456.0,,73543.0
zonebourse.com,,,,,,,73102.0,73102.0
LE JOURNAL DE MILLAU,7691.0,11236.0,11067.0,10835.0,10353.0,10494.0,10238.0,71914.0
cafebabel.fr,,71893.0,,,,,,71893.0
notretemps.com,,,71551.0,,,,,71551.0
LA REVUE DESSINEE,,12263.0,7799.0,10558.0,12756.0,13792.0,13998.0,71166.0
LE LITTORAL DE LA CHARENTE MARITIME,8534.0,10012.0,9795.0,10114.0,10400.0,10536.0,11167.0,70558.0
NOUVELLES SEMAINE,,3866.0,3671.0,3654.0,3653.0,3827.0,51180.0,69851.0
madeinmarseille.net,,,34800.0,,34845.0,,,69645.0
biotechinfo.fr,,50000.0,19585.0,,,,,69585.0
CENTRE PRESSE POITIERS,,,,,,33214.0,35809.0,69023.0
